Street,City,State,State_name,Zip_code,LON,LAT
MAIN ST,DUMFRIES,VA,Virginia,22026,-77.3307,38.5622
DALE BLVD,WOODBRIDGE,VA,Virginia,22193,-77.3327,38.6404
DILLINGHAM SQ,WOODBRIDGE,VA,Virginia,22192,-77.3195,38.6828
PRINCE WILLIAM PKWY,WOODBRIDGE,VA,Virginia,22192,-77.2886,38.6546
JEFFERSON DAVIS HWY,WOODBRIDGE,VA,Virginia,22191,-77.2672,38.64
PIEDMONT CENTER PLZ,GAINESVILLE,VA,Virginia,20155,-77.6255,38.8086
GATEWAY CENTER DR,GAINESVILLE,VA,Virginia,20155,-77.6072,38.7947
BRISTOW CENTER DR,BRISTOW,VA,Virginia,20136,-77.5502,38.7332
DUMFRIES RD,MANASSAS,VA,Virginia,20110,-77.4716,38.7398
SUDLEY RD,MANASSAS,VA,Virginia,20109,-77.5177,38.7951
SHOPPERS SQ,MANASSAS,VA,Virginia,20111,-77.4526,38.7766
VILLAGE SHOPS DR,FAIRFAX STATION,VA,Virginia,22039,-77.2527,38.7291
OX RD,FAIRFAX STATION,VA,Virginia,22039,-77.3256,38.8011
SHIPLETT BLVD,BURKE,VA,Virginia,22015,-77.2655,38.7777
CENTREVILLE SQ,CENTREVILLE,VA,Virginia,20121,-77.4374,38.8378
SHOPPES LN,FAIRFAX,VA,Virginia,22033,-77.3865,38.8606
LEE JACKSON MEMORIAL HWY,CHANTILLY,VA,Virginia,20151,-77.4331,38.8941
LEE JACKSON MEMORIAL HWY,FAIRFAX,VA,Virginia,22033,-77.3971,38.8803
LEE HWY,FAIRFAX,VA,Virginia,22030,-77.3267,38.8525
WILLARD WAY,FAIRFAX,VA,Virginia,22030,-77.3037,38.8487
BRADDOCK RD,FAIRFAX,VA,Virginia,22032,-77.2759,38.8183
LITTLE RIVER TPKE,FAIRFAX,VA,Virginia,22031,-77.2459,38.8383
CHAIN BRIDGE RD,VIENNA,VA,Virginia,22181,-77.2761,38.8932
